,number_single,number_female,number_union,mean_attractiveness,corr_results,Model Params,Run
164,64,50,36,0.767,-0.5701014583518218,"(100, 'attractiveness', 5, 1, 10, 1)",4
165,64,50,36,0.767,-0.5701014583518218,"(100, 'attractiveness', 5, 1, 10, 1)",4
166,60,50,40,0.767,-0.5491759240371988,"(100, 'attractiveness', 5, 1, 10, 1)",4
167,60,50,40,0.767,-0.5491759240371988,"(100, 'attractiveness', 5, 1, 10, 1)",4
168,54,50,46,0.76,-0.05937093673668449,"(100, 'attractiveness', 5, 1, 10, 1)",4
169,50,50,50,0.755,-0.0006321251247292971,"(100, 'attractiveness', 5, 1, 10, 1)",4
170,46,50,54,0.749,-0.05407557398667042,"(100, 'attractiveness', 5, 1, 10, 1)",4
171,40,50,60,0.746,-0.05135670734038763,"(100, 'attractiveness', 5, 1, 10, 1)",4
172,40,50,60,0.746,-0.05135670734038763,"(100, 'attractiveness', 5, 1, 10, 1)",4
173,38,50,62,0.743,-0.07141242257822546,"(100, 'attractiveness', 5, 1, 10, 1)",4
174,34,50,66,0.743,-0.1462718189872843,"(100, 'attractiveness', 5, 1, 10, 1)",4
175,30,50,70,0.736,-0.016542588503151424,"(100, 'attractiveness', 5, 1, 10, 1)",4
176,30,50,70,0.736,-0.016542588503151424,"(100, 'attractiveness', 5, 1, 10, 1)",4
177,30,50,70,0.736,-0.016542588503151424,"(100, 'attractiveness', 5, 1, 10, 1)",4
178,24,50,76,0.733,0.02680438007849464,"(100, 'attractiveness', 5, 1, 10, 1)",4
179,24,50,76,0.733,0.02680438007849464,"(100, 'attractiveness', 5, 1, 10, 1)",4
180,24,50,76,0.733,0.02680438007849464,"(100, 'attractiveness', 5, 1, 10, 1)",4
181,24,50,76,0.733,0.02680438007849464,"(100, 'attractiveness', 5, 1, 10, 1)",4
182,22,50,78,0.733,0.02612477211012257,"(100, 'attractiveness', 5, 1, 10, 1)",4
183,20,50,80,0.731,0.03994160566732543,"(100, 'attractiveness', 5, 1, 10, 1)",4
184,20,50,80,0.731,0.03994160566732543,"(100, 'attractiveness', 5, 1, 10, 1)",4
185,20,50,80,0.731,0.03994160566732543,"(100, 'attractiveness', 5, 1, 10, 1)",4
186,20,50,80,0.731,0.03994160566732543,"(100, 'attractiveness', 5, 1, 10, 1)",4
187,20,50,80,0.731,0.03994160566732543,"(100, 'attractiveness', 5, 1, 10, 1)",4
188,20,50,80,0.731,0.03994160566732543,"(100, 'attractiveness', 5, 1, 10, 1)",4
189,20,50,80,0.731,0.03994160566732543,"(100, 'attractiveness', 5, 1, 10, 1)",4
190,18,50,82,0.73,0.030465346439939457,"(100, 'attractiveness', 5, 1, 10, 1)",4
191,18,50,82,0.73,0.030465346439939457,"(100, 'attractiveness', 5, 1, 10, 1)",4
192,18,50,82,0.73,0.030465346439939457,"(100, 'attractiveness', 5, 1, 10, 1)",4
193,16,50,84,0.73,0.02939711022793548,"(100, 'attractiveness', 5, 1, 10, 1)",4
194,16,50,84,0.73,0.02939711022793548,"(100, 'attractiveness', 5, 1, 10, 1)",4
195,16,50,84,0.73,0.02939711022793548,"(100, 'attractiveness', 5, 1, 10, 1)",4
196,16,50,84,0.73,0.02939711022793548,"(100, 'attractiveness', 5, 1, 10, 1)",4
197,16,50,84,0.73,0.02939711022793548,"(100, 'attractiveness', 5, 1, 10, 1)",4
